Lat,Lon,Alt,Year,JulianDay_Sin,KPN_A,KPN_B,KPN_C,KPN_D,KPN_E,O18,H2,O18 P,H2 P
47.54260867,7.58371693,304.73438,2010,-0.7236440382959123,0,0,1,0,0,-15.21,-112.6,-8.644828,-61.58764
47.54260867,7.58371693,304.73438,2010,-0.2884824328806098,0,0,1,0,0,-14.44,-105.9,-8.804954,-62.96203
47.54260867,7.58371693,304.73438,2011,0.2386727660059501,0,0,1,0,0,-10.25,-76.7,-8.965079,-64.33642
47.54260867,7.58371693,304.73438,2011,0.6994583270516471,0,0,1,0,0,-12.45,-92.0,-9.20082,-66.359825
47.54260867,7.58371693,304.73438,2011,0.9510565162951535,0,0,1,0,0,-9.17,-69.4,-9.218612,-66.512535
47.54260867,7.58371693,304.73438,2011,0.9760105506323683,0,0,1,0,0,-5.43,-37.3,-9.218612,-66.512535
47.54260867,7.58371693,304.73438,2011,0.741222010848596,0,0,1,0,0,-5.61,-36.5,-9.205268,-66.398
47.54260867,7.58371693,304.73438,2011,0.29671281927349075,0,0,1,0,0,-5.81,-38.2,-8.982871,-64.48913
47.54260867,7.58371693,304.73438,2011,-0.2135209154397959,0,0,1,0,0,-6.6,-42.1,-8.822745,-63.11474
47.54260867,7.58371693,304.73438,2011,-0.680773409477016,0,0,1,0,0,-5.64,-39.6,-8.667068,-61.778526
47.54260867,7.58371693,304.73438,2011,-0.9587178169872964,0,0,1,0,0,-5.39,-34.7,-8.302337,-58.647972
47.54260867,7.58371693,304.73438,2011,-0.9741004551724206,0,0,1,0,0,-9.76,-69.2,-8.2445135,-58.151665
47.54260867,7.58371693,304.73438,2011,-0.2884824328806098,0,0,1,0,0,-9.34,-65.6,-8.804954,-62.96203
47.54260867,7.58371693,304.73438,2012,0.2386727660059501,0,0,1,0,0,-10.04,-70.4,-8.965079,-64.33642
47.54260867,7.58371693,304.73438,2012,0.6994583270516471,0,0,1,0,0,-15.68,-117.5,-9.191924,-66.28347
47.54260867,7.58371693,304.73438,2012,0.9562348265919056,0,0,1,0,0,-9.38,-68.4,-9.218612,-66.512535
47.54260867,7.58371693,304.73438,2012,0.9721181966290613,0,0,1,0,0,-8.08,-56.7,-9.218612,-66.512535
47.54260867,7.58371693,304.73438,2012,0.7295575540864875,0,0,1,0,0,-6.23,-44.0,-9.20082,-66.359825
47.54260867,7.58371693,304.73438,2012,0.2802306751992159,0,0,1,0,0,-6.6,-46.2,-8.973975,-64.41277
47.54260867,7.58371693,304.73438,2012,-0.23030567023061196,0,0,1,0,0,-5.32,-32.6,-8.822745,-63.11474
47.54260867,7.58371693,304.73438,2012,-0.6932812268869771,0,0,1,0,0,-5.84,-37.5,-8.658172,-61.70217
47.54260867,7.58371693,304.73438,2012,-0.9634705485641486,0,0,1,0,0,-5.62,-37.2,-8.306785,-58.68615
47.54260867,7.58371693,304.73438,2012,-0.970063921851507,0,0,1,0,0,-10.79,-77.4,-8.280097,-58.457085
47.54260867,7.58371693,304.73438,2012,-0.7116566222817751,0,0,1,0,0,-12.91,-96.4,-8.649276,-61.625816
47.54260867,7.58371693,304.73438,2013,0.2386727660059501,0,0,1,0,0,-13.28,-99.0,-8.960631,-64.29824
47.54260867,7.58371693,304.73438,2013,0.6994583270516471,0,0,1,0,0,-13.94,-101.5,-9.187476,-66.24529
47.54260867,7.58371693,304.73438,2013,0.9510565162951535,0,0,1,0,0,-13.26,-97.4,-9.218612,-66.512535
47.54260867,7.58371693,304.73438,2013,0.9760105506323683,0,0,1,0,0,-8.88,-64.1,-9.218612,-66.512535
47.54260867,7.58371693,304.73438,2013,0.741222010848596,0,0,1,0,0,-9.26,-67.8,-9.196372,-66.32165
47.54260867,7.58371693,304.73438,2013,0.29671281927349075,0,0,1,0,0,-7.45,-50.8,-8.969527,-64.374596
47.54260867,7.58371693,304.73438,2013,-0.2135209154397959,0,0,1,0,0,-6.98,-49.4,-8.827193,-63.152916
47.54260867,7.58371693,304.73438,2013,-0.680773409477016,0,0,1,0,0,-5.54,-34.8,-8.66262,-61.74035
47.54260867,7.58371693,304.73438,2013,-0.9587178169872964,0,0,1,0,0,-6.81,-43.0,-8.33792,-58.953392
47.54260867,7.58371693,304.73438,2013,-0.9741004551724206,0,0,1,0,0,-8.19,-59.0,-8.284545,-58.495262
47.54260867,7.58371693,304.73438,2013,-0.7236440382959123,0,0,1,0,0,-13.15,-96.3,-8.64038,-61.54946
47.54260867,7.58371693,304.73438,2013,-0.2884824328806098,0,0,1,0,0,-17.77,-137.7,-8.813849,-63.038383
47.54260867,7.58371693,304.73438,2014,0.2386727660059501,0,0,1,0,0,-11.27,-85.7,-8.956183,-64.26006
47.54260867,7.58371693,304.73438,2014,0.6994583270516471,0,0,1,0,0,-11.26,-82.7,-9.174132,-66.13076
47.54260867,7.58371693,304.73438,2014,0.9510565162951535,0,0,1,0,0,-9.36,-71.0,-9.214164,-66.47436
47.54260867,7.58371693,304.73438,2014,0.9760105506323683,0,0,1,0,0,-8.42,-65.1,-9.218612,-66.512535
47.54260867,7.58371693,304.73438,2014,0.741222010848596,0,0,1,0,0,-7.08,-49.1,-9.187476,-66.24529
47.54260867,7.58371693,304.73438,2014,0.29671281927349075,0,0,1,0,0,-4.38,-24.7,-8.969527,-64.374596
47.54260867,7.58371693,304.73438,2014,-0.2135209154397959,0,0,1,0,0,-7.23,-50.2,-8.831641,-63.191093
47.54260867,7.58371693,304.73438,2014,-0.680773409477016,0,0,1,0,0,-5.16,-37.1,-8.66262,-61.74035
47.54260867,7.58371693,304.73438,2014,-0.9587178169872964,0,0,1,0,0,-7.54,-51.5,-8.355712,-59.106102
47.54260867,7.58371693,304.73438,2014,-0.9741004551724206,0,0,1,0,0,-6.14,-39.7,-8.302337,-58.647972
47.54260867,7.58371693,304.73438,2014,-0.7236440382959123,0,0,1,0,0,-18.94,-143.9,-8.64038,-61.54946
47.54260867,7.58371693,304.73438,2014,-0.2884824328806098,0,0,1,0,0,-12.78,-92.6,-8.818297,-63.07656
47.54260867,7.58371693,304.73438,2015,0.2386727660059501,0,0,1,0,0,-13.96,-103.8,-8.947288,-64.18371
47.54260867,7.58371693,304.73438,2015,0.6994583270516471,0,0,1,0,0,-12.02,-92.5,-9.160789,-66.01623
47.54260867,7.58371693,304.73438,2015,0.9510565162951535,0,0,1,0,0,-8.85,-68.0,-9.214164,-66.47436
47.54260867,7.58371693,304.73438,2015,0.9760105506323683,0,0,1,0,0,-10.12,-75.1,-9.214164,-66.47436
47.54260867,7.58371693,304.73438,2015,0.741222010848596,0,0,1,0,0,-9.68,-72.3,-9.17858,-66.16894
47.54260867,7.58371693,304.73438,2015,0.29671281927349075,0,0,1,0,0,-6.6,-44.3,-8.965079,-64.33642
47.54260867,7.58371693,304.73438,2015,-0.2135209154397959,0,0,1,0,0,-3.4,-26.4,-8.836089,-63.22927
47.54260867,7.58371693,304.73438,2015,-0.680773409477016,0,0,1,0,0,-4.55,-30.0,-8.658172,-61.70217
47.54260867,7.58371693,304.73438,2015,-0.9587178169872964,0,0,1,0,0,-8.48,-62.9,-8.364608,-59.182457
47.54260867,7.58371693,304.73438,2015,-0.9741004551724206,0,0,1,0,0,-10.96,-79.1,-8.320128,-58.800682
47.54260867,7.58371693,304.73438,2015,-0.7236440382959123,0,0,1,0,0,-12.41,-93.4,-8.635932,-61.511284
47.54260867,7.58371693,304.73438,2015,-0.2884824328806098,0,0,1,0,0,-7.68,-53.2,-8.818297,-63.07656
47.54260867,7.58371693,304.73438,2016,0.2386727660059501,0,0,1,0,0,-14.0,-105.2,-8.938392,-64.10735
47.54260867,7.58371693,304.73438,2016,0.6994583270516471,0,0,1,0,0,-11.95,-87.3,-9.142997,-65.86352
47.54260867,7.58371693,304.73438,2016,0.9562348265919056,0,0,1,0,0,-12.39,-95.3,-9.209716,-66.43618
47.54260867,7.58371693,304.73438,2016,0.9721181966290613,0,0,1,0,0,-8.98,-61.1,-9.209716,-66.43618
47.54260867,7.58371693,304.73438,2016,0.7295575540864875,0,0,1,0,0,-8.58,-60.4,-9.160789,-66.01623
47.54260867,7.58371693,304.73438,2016,0.2802306751992159,0,0,1,0,0,-8.78,-65.1,-8.9517355,-64.221886
47.54260867,7.58371693,304.73438,2016,-0.23030567023061196,0,0,1,0,0,-4.3,-27.7,-8.831641,-63.191093
47.54260867,7.58371693,304.73438,2016,-0.6932812268869771,0,0,1,0,0,-5.1,-30.8,-8.649276,-61.625816
47.54260867,7.58371693,304.73438,2016,-0.9634705485641486,0,0,1,0,0,-8.52,-58.2,-8.369056,-59.220634
47.54260867,7.58371693,304.73438,2016,-0.970063921851507,0,0,1,0,0,-8.74,-59.1,-8.346816,-59.029747
47.54260867,7.58371693,304.73438,2016,-0.7116566222817751,0,0,1,0,0,-10.19,-71.1,-8.644828,-61.58764
47.54260867,7.58371693,304.73438,2016,-0.27195815753410524,0,0,1,0,0,-8.56,-60.4,-8.822745,-63.11474
47.54260867,7.58371693,304.73438,2018,0.2386727660059501,0,0,1,0,0,-8.8,-62.8,-8.916152,-63.916466
47.54260867,7.58371693,304.73438,2018,-0.2884824328806098,0,0,1,0,0,-9.0,-64.5,-8.818297,-63.07656
47.54260867,7.58371693,304.73438,2019,0.2386727660059501,0,0,1,0,0,-9.85,-68.46,-8.902808,-63.801933
47.54260867,7.58371693,304.73438,2019,0.6994583270516471,0,0,1,0,0,-15.46,-118.68,-9.058486,-65.138145
47.54260867,7.58371693,304.73438,2020,-0.23030567023061196,0,0,1,0,0,-3.66,-25.74,-8.831641,-63.191093
47.54260867,7.58371693,304.73438,2012,-0.27195815753410524,0,0,1,0,0,-11.73,-85.6,-8.813849,-63.038383
47.54260867,7.58371693,304.73438,2017,0.9510565162951535,0,0,1,0,0,-9.33,-66.0,-9.205268,-66.398
