Lat,Lon,Date,Alt,Precip (mm),Temp (°C),O18 (‰),H2 (‰),KPN_A,KPN_B,KPN_C,KPN_D,KPN_E
-34.05,115.0249,2018-07-22 07:00:00+00:00,70.0,7.6,14.296594238281273,-2.2,-4.0,0,0,1,0,0
47.81666667,13.71777778,2022-08-21 05:00:00+00:00,1618.0,69.9,14.785882568359398,-9.65,-63.24,0,0,0,1,0
15.6,32.55,1976-08-14 22:00:00+00:00,382.0,80.0,31.6,-0.92,0.7,0,1,0,0,0
6.166666667,102.2833333,2018-07-14 22:00:00+00:00,7.0,4.624390276148915,27.368585205078148,-5.71,-30.7,1,0,0,0,0
51.35,12.43,2004-05-14 22:00:00+00:00,125.0,89.4,17.108331298828148,-8.37,-58.1,0,0,1,0,0
30.72916667,78.44666667,2005-05-14 22:00:00+00:00,1140.0,97.2,22.414880371093773,-1.4,14.1,0,0,1,0,0
-41.47,-72.93,2004-12-14 23:00:00+00:00,13.0,84.6,13.6,-2.96,-18.4,0,0,1,0,0
51.3,3.75,1994-10-29 22:00:00+00:00,2.0,48.8,6.592980957031273,-6.67,-39.7,0,0,1,0,0
13.73,100.5,1985-11-14 23:00:00+00:00,2.0,17.0,28.6,-4.0,-24.0,1,0,0,0,0
-0.331666667,31.76111111,2019-05-14 22:00:00+00:00,1306.0,259.4,22.275048828125023,-7.08,-42.7,1,0,0,0,0
52.141,-106.6244,2006-07-14 22:00:00+00:00,502.0,32.0,20.2,-12.39,-103.15,0,0,0,1,0
41.67805556,26.55916667,2009-01-14 23:00:00+00:00,48.0,82.2,2.8,-11.35,-79.83,0,0,1,0,0
50.12,-104.42,2008-01-14 23:00:00+00:00,580.0,0.0,-22.07042541503904,-23.82,-184.3,0,0,0,1,0
49.67,-93.72,2003-08-14 22:00:00+00:00,420.0,3.1418231315910816,10.794396972656273,-8.21,-57.5,0,0,0,1,0
46.60305556,13.67138889,1993-01-14 23:00:00+00:00,2156.0,3.6,-5.688818359374977,-10.78,-80.9,0,0,0,1,0
28.58,77.2,1967-08-14 22:00:00+00:00,212.0,537.0,28.7,-7.62,-50.0,0,1,0,0,0
-41.47,-72.93,2013-06-14 22:00:00+00:00,13.0,225.0,7.3,-5.52,-34.4,0,0,1,0,0
