Lat,Lon,Alt,Temp,Precip,Year,JulianDay_Sin,O18 A,H2 A,O18 P,H2 P
-54.78,-68.28,10,8.115869141,44,1994,0.951056516,-11.2,-86,-9.893471,-76.969604
33.65694444,73.26611111,575,26.28280029,213.8,1996,-0.693281227,-4.14,-19.42,-5.711493,-38.2085
45.03527778,24.28416667,237,20.61620483,30.8,2015,-0.23030567,-3.8,-24.9,-5.403231,-35.81264
69.1,-105.1166667,27,-38.3,2,1990,0.699458327,-32.49,-250.8,-33.089603,-257.78882
49.04,37.577,66,12.19503174,7.467595534,2019,-0.974100455,-8.57,-58,-8.448016,-57.349163
44.13333333,6.333333333,851,4.7,22,2020,0.699458327,-9.3,-69.7,-8.000018,-55.617603
-17.83,31.02,1471,19.2,180,1990,0.699458327,-6.06,-33.1,-5.9982877,-35.625168
37.77,-25.65,175,15.6,148.5,2012,-0.271958158,-5.6,-36,-3.8442907,-21.635014
72.58,-38.4799,3200,-19.58615723,0,2012,-0.924290722,-40.9781222,-310.5403931,-33.52807,-265.5372
6.2,100.4,5,28.69265137,380.6,2017,-0.958717817,-8.63,-56.7,-7.008603,-43.386204
-51.342,-58.8425,33,5.022043,0,2015,-0.974100455,-7.0407965,-49.72079595,-7.5802803,-55.24071
33.65694444,73.26611111,575,21.7803894,350.2,2013,-0.213520915,-2.86,-11.6,-4.6712937,-28.251226
41.75,44.766667,427,5.7,14.4,2014,-0.288482433,-10.65,-73,-10.80127,-78.07871
-34.03,-67.97,572,20.5,74,1983,-0.723644038,-2.1,-7,-5.548715,-35.559414
-40.68,144.69,90,16.94,86,1999,0.699458327,-4.69,-24.9,-3.8240833,-18.147522
51.3,3.75,2,18.2,28.9,2000,-0.85432217,-5.78,-36.4,-5.092011,-33.786568
-37.32,-64.33,150,22.28731689,89,2002,0.699458327,-3.4,-16,-5.4542723,-35.71979
51.6,-1.1,48,16.5,15,2021,-0.680773409,-4.11,-29.1,-5.7692413,-38.886795
35.27,-75.55,3,24.4,77,1973,-0.958717817,-2.07,-5.4,-3.7073665,-20.437479
33.96666667,-4.983333333,571,14.86123047,79.3,2016,0.717676914,-1.157,-1.1,-4.285868,-23.7912
50.8325,15.14777778,823,6.2,4.6,2007,0.976010551,-4.24,-32.46,-8.9556265,-65.65618
11.48527778,-3.5225,330,26.34658203,0,2005,-0.958717817,-4.1,-21.8,-2.9578347,-15.042147
36.98,35.3,73,26.6,17.1,2012,0.280230675,-1.77,-12.25,-3.0031638,-14.683573
13.55,144.83,110,26.2,3.408346279,1976,0.729557554,-5.53,-32.7,-1.7634008,-3.0848029
26.08333333,119.2833333,16,12.9,47,1988,-0.271958158,-10.49,-75,-4.441272,-23.268778
-2.53,140.72,3,28.2,167,1973,-0.974100455,-3.76,-18.1,-5.944331,-39.87471
