Lat,Lon,Alt,Date,H2,O18,geometry,t2m,tp
-75.58333333,-20.56666667,30.0,1983-01-14 23:00:00+00:00,-121.4,-15.26,POINT (-20.56666667 -75.58333333),263.5,0.0
-75.58333333,-20.56666667,30.0,1983-02-14 23:00:00+00:00,-103.9,-13.4,POINT (-20.56666667 -75.58333333),262.125,4.947185516357422e-06
-75.58333333,-20.56666667,30.0,1983-03-14 23:00:00+00:00,-119.6,-15.2,POINT (-20.56666667 -75.58333333),255.859375,9.040037184604444e-06
-75.58333333,-20.56666667,30.0,1983-04-14 22:00:00+00:00,-138.2,-18.06,POINT (-20.56666667 -75.58333333),245.875,1.3411043937594513e-06
-75.58333333,-20.56666667,30.0,1983-05-14 22:00:00+00:00,-177.3,-21.97,POINT (-20.56666667 -75.58333333),257.67706298828125,0.0003788371686823666
-75.58333333,-20.56666667,30.0,1983-06-14 22:00:00+00:00,-210.0,-26.03,POINT (-20.56666667 -75.58333333),249.63021850585938,3.7550926208496094e-06
-75.58333333,-20.56666667,30.0,1983-07-14 22:00:00+00:00,-241.4,-30.0,POINT (-20.56666667 -75.58333333),246.38021850585938,0.0
-75.58333333,-20.56666667,30.0,1983-08-14 22:00:00+00:00,-198.8,-24.73,POINT (-20.56666667 -75.58333333),255.14584350585938,0.00011366606486262754
-75.58333333,-20.56666667,30.0,1983-09-14 22:00:00+00:00,-210.1,-25.91,POINT (-20.56666667 -75.58333333),244.9114532470703,0.0
-75.58333333,-20.56666667,30.0,1983-10-14 22:00:00+00:00,-211.2,-25.68,POINT (-20.56666667 -75.58333333),255.78125,7.709861529292539e-05
-75.58333333,-20.56666667,30.0,1983-11-14 23:00:00+00:00,-173.6,-21.4,POINT (-20.56666667 -75.58333333),260.28125,0.0
-75.58333333,-20.56666667,30.0,1983-12-14 23:00:00+00:00,-128.3,-16.01,POINT (-20.56666667 -75.58333333),261.36456298828125,1.1920928955078125e-07
-75.58333333,-20.56666667,30.0,1984-01-14 23:00:00+00:00,-185.5,-23.13,POINT (-20.56666667 -75.58333333),273.75,0.0004887878894805908
-75.58333333,-20.56666667,30.0,1984-02-14 23:00:00+00:00,-186.2,-23.23,POINT (-20.56666667 -75.58333333),265.52081298828125,0.00015248855925165117
-75.58333333,-20.56666667,30.0,1984-03-14 23:00:00+00:00,-131.4,-17.33,POINT (-20.56666667 -75.58333333),253.140625,6.238619334908435e-06
-75.58333333,-20.56666667,30.0,1984-04-14 22:00:00+00:00,-172.9,-21.98,POINT (-20.56666667 -75.58333333),259.46875,2.8014183044433594e-06
-75.58333333,-20.56666667,30.0,1984-05-14 22:00:00+00:00,-207.3,-26.17,POINT (-20.56666667 -75.58333333),246.9947967529297,0.0
-75.58333333,-20.56666667,30.0,1984-06-14 22:00:00+00:00,-218.2,-27.97,POINT (-20.56666667 -75.58333333),236.22396850585938,0.0
-75.58333333,-20.56666667,30.0,1984-07-14 22:00:00+00:00,-207.7,-26.38,POINT (-20.56666667 -75.58333333),252.9739532470703,0.00030266246176324785
-75.58333333,-20.56666667,30.0,1984-08-14 22:00:00+00:00,-232.3,-29.3,POINT (-20.56666667 -75.58333333),243.11459350585938,1.1781851753767114e-05
-75.58333333,-20.56666667,30.0,1984-09-14 22:00:00+00:00,-223.9,-28.06,POINT (-20.56666667 -75.58333333),243.015625,3.973643103449831e-08
