Date	Amount(mm)	d18O	d2H
2010-05-17	4.3	-3.7	-39.6
2010-05-25	4.1	-14.9	-110
2010-05-26	3.3	-12.8	-95.6
2010-05-31	7.6	-11.1	-84.5
2010-06-03	3.3	-7.1	-56.2
2010-06-07	1.8	-9.5	-78
2010-06-14	2.2	-11.2	-82.9
2010-06-15	8.5	-15.7	-115.3
2010-06-16	0.9	-9.8	-67.5
2010-06-21	28	-9.7	-65.6
2010-06-28	1.8	-6.5	-44.5
2010-07-01	4.9	-9.2	-65.1
2010-07-02	4.2	-9.9	-74.3
2010-07-07	0.8	-6.2	-52.4
2010-07-12	4	-7.3	-51.3
2010-07-14	7.3	-6.7	-44.4
2010-07-15	0.5	-7.5	-54.3
2010-07-19	6.9	-7.5	-48.8
2010-07-22	6.5	-8.6	-56
2010-07-23	2.5	-7.5	-51.4
2010-07-26	9.2	-8	-48.5
2010-07-27	39	-7.2	-45.3
2010-07-28	5	-8.6	-53.9
2010-07-29	0.9	-7.6	-53.1
2010-07-30	9.8	-6.7	-42.4
2010-08-02	5.7	-7.4	-49.2
2010-08-03	4.5	-8.6	-60.4
2010-08-05	26.6	-13	-92
2010-08-09	10.4	-8.5	-56.9
2010-08-10	5.7	-9.7	-64.3
2010-08-16	1	-6.5	-42.5
2010-08-22	0.9	-9.2	-62.6
2010-08-24	8.8	-10.9	-73.4
2010-08-25	3.8	-13.4	-92.6
2010-08-26	3.9	-13.4	-90.9
2010-08-30	3.2	-14.5	-99.2
2010-09-02	1.3	-13.2	-97.3
2010-09-13	4.7	-9.5	-65
2010-09-15	2.7	-9	-61.7
2010-09-16	20.9	-14.9	-112.8
2010-09-17	13.8	-9.5	-60.5
2010-09-20	4.8	-11.5	-82
2010-09-23	6.8	-11.1	-78.6
2010-09-26	8.8	-17.3	-128.3
2010-10-14	7.6	-15.7	-111.8
2010-10-15	2.5	-19.7	-146
2010-10-21	13.6	-17.1	-124
2010-10-25	12.3	-18.9	-131.6
2010-10-26	0.2	-16.9	-122.2
2010-10-28	5.9	-12.1	-82.5
2010-11-01	4.8	-13.4	-99.5
2010-11-08	9.7	-14.1	-98
2010-11-10	2.5	-20.2	-144.4
2010-11-11	6.1	-20.8	-151.4
2010-11-15	1.4	-19.6	-139.8
2010-11-24	2.2	-14.2	-86.9
2010-11-26	3.3	-16.7	-98.8
2010-11-29	1.6	-17.2	-101.6
2010-12-06	3.1	-15.7	-102.6
2010-12-16	2.1	-22.7	-167.8
2010-12-17	14.7	-15.3	-108.2
2010-12-20	3.9	-17.2	-114.7
2010-12-21	1.8	-29.5	-218.5
2010-12-22	2.3	-31.6	-236
2010-12-31	1.3	-20.4	-142.3
2011-01-03	3.4	-19.1	-139.2
2011-01-07	6.1	-22.5	-167.2
